IPC_MSG_ID_LIST count: 1174
     2 = ProductManagement.DEVICE_ONLINE_MSG
     3 = ProductManagement.DEVICE_OFFLINE_MSG
     4 = ProductManagement.DEVICE_READY_MSG
     5 = ProductManagement.DEVICE_NOT_READY_MSG
     6 = ProductManagement.SUBSCRIBE_MSG
     7 = ProductManagement.UNSUBSCRIBE_MSG
     8 = ProductManagement.VALID_DEVICE_LIST_MSG
  4097 = FunctionAvailableProp.GetMsgID
  4098 = FunctionAvailableProp.NotifyMsgID
  4099 = FunctionAvailableProp.GetRespMsgID
  4100 = FunctionAvailableProp.SubscribeMsgID
  4101 = FunctionAvailableProp.UnsubscribeMsgID
  4102 = ProductSNProp.GetMsgID
  4103 = ProductSNProp.NotifyMsgID
  4104 = ProductSNProp.GetRespMsgID
  4105 = ProductSNProp.SubscribeMsgID
  4106 = ProductSNProp.UnsubscribeMsgID
  4107 = ProductUACModeProp.GetMsgID
  4108 = ProductUACModeProp.NotifyMsgID
  4109 = ProductUACModeProp.GetRespMsgID
  4110 = ProductUACModeProp.SubscribeMsgID
  4111 = ProductUACModeProp.UnsubscribeMsgID
  4112 = ProductBluetoothStateProp.GetMsgID
  4113 = ProductBluetoothStateProp.NotifyMsgID
  4114 = ProductBluetoothStateProp.GetRespMsgID
  4115 = ProductBluetoothStateProp.SubscribeMsgID
  4116 = ProductBluetoothStateProp.UnsubscribeMsgID
  4117 = ProductBluetoothNameProp.GetMsgID
  4118 = ProductBluetoothNameProp.NotifyMsgID
  4119 = ProductBluetoothNameProp.GetRespMsgID
  4120 = ProductBluetoothNameProp.SubscribeMsgID
  4121 = ProductBluetoothNameProp.UnsubscribeMsgID
  4122 = ProductColorIDProp.GetMsgID
  4123 = ProductColorIDProp.NotifyMsgID
  4124 = ProductColorIDProp.GetRespMsgID
  4125 = ProductColorIDProp.SubscribeMsgID
  4126 = ProductColorIDProp.UnsubscribeMsgID
  4127 = ProductDongleStateProp.GetMsgID
  4128 = ProductDongleStateProp.NotifyMsgID
  4129 = ProductDongleStateProp.GetRespMsgID
  4130 = ProductDongleStateProp.SubscribeMsgID
  4131 = ProductDongleStateProp.UnsubscribeMsgID
  4132 = BaseStationStateProp.GetMsgID
  4133 = BaseStationStateProp.NotifyMsgID
  4134 = BaseStationStateProp.GetRespMsgID
  4135 = BaseStationStateProp.SubscribeMsgID
  4136 = BaseStationStateProp.UnsubscribeMsgID
  4137 = SupportGestureProp.GetMsgID
  4138 = SupportGestureProp.NotifyMsgID
  4139 = SupportGestureProp.GetRespMsgID
  4140 = SupportGestureProp.SubscribeMsgID
  4141 = SupportGestureProp.UnsubscribeMsgID
  4142 = SupportEqualizerProp.GetMsgID
  4143 = SupportEqualizerProp.NotifyMsgID
  4144 = SupportEqualizerProp.GetRespMsgID
  4145 = SupportEqualizerProp.SubscribeMsgID
  4146 = SupportEqualizerProp.UnsubscribeMsgID
  4147 = AudioSignalDetectRefreshProp.CommandMsgID
  4148 = WirelessConnectionStateProp.GetMsgID
  4149 = WirelessConnectionStateProp.SetMsgID
  4150 = WirelessConnectionStateProp.NotifyMsgID
  4151 = WirelessConnectionStateProp.GetRespMsgID
  4152 = WirelessConnectionStateProp.SubscribeMsgID
  4153 = WirelessConnectionStateProp.UnsubscribeMsgID
  4154 = AutoPowerOffProp.GetMsgID
  4155 = AutoPowerOffProp.SetMsgID
  4156 = AutoPowerOffProp.NotifyMsgID
  4157 = AutoPowerOffProp.GetRespMsgID
  4158 = AutoPowerOffProp.SubscribeMsgID
  4159 = AutoPowerOffProp.UnsubscribeMsgID
  4160 = PolarPatternProp.GetMsgID
  4161 = PolarPatternProp.SetMsgID
  4162 = PolarPatternProp.NotifyMsgID
  4163 = PolarPatternProp.GetRespMsgID
  4164 = PolarPatternProp.SubscribeMsgID
  4165 = PolarPatternProp.UnsubscribeMsgID
  4166 = MicrophoneStateProp.GetMsgID
  4167 = MicrophoneStateProp.SetMsgID
  4168 = MicrophoneStateProp.NotifyMsgID
  4169 = MicrophoneStateProp.GetRespMsgID
  4170 = MicrophoneStateProp.SubscribeMsgID
  4171 = MicrophoneStateProp.UnsubscribeMsgID
  4172 = GameChatBalanceProp.GetMsgID
  4173 = GameChatBalanceProp.SetMsgID
  4174 = GameChatBalanceProp.NotifyMsgID
  4175 = GameChatBalanceProp.GetRespMsgID
  4176 = GameChatBalanceProp.SubscribeMsgID
  4177 = GameChatBalanceProp.UnsubscribeMsgID
  4178 = AudioVoiceBalanceProp.GetMsgID
  4179 = AudioVoiceBalanceProp.SetMsgID
  4180 = AudioVoiceBalanceProp.NotifyMsgID
  4181 = AudioVoiceBalanceProp.GetRespMsgID
  4182 = AudioVoiceBalanceProp.SubscribeMsgID
  4183 = AudioVoiceBalanceProp.UnsubscribeMsgID
  4184 = FindMyDeviceProp.GetMsgID
  4185 = FindMyDeviceProp.SetMsgID
  4186 = FindMyDeviceProp.NotifyMsgID
  4187 = FindMyDeviceProp.GetRespMsgID
  4188 = FindMyDeviceProp.SubscribeMsgID
  4189 = FindMyDeviceProp.UnsubscribeMsgID
  4190 = FactoryResetProp.CommandMsgID
  4191 = FactoryResetAckProp.CommandMsgID
